index,personid,treatment,ordertaker,type,quitjob,phonecalls0,phonecalls1,perform10,perform11,prior_experience,age,tenure,basewage,bonus,grosswage,ageyoungestchild,costofcommute,children,rental,bedroom,male,married,second_technical,high_school,tertiary_technical,university,internet
141,3906,1,0,notification group (airfare),0.0,0.0,0.0,0.08457301,0.3086204,84.0,33.0,96.0,1883.3334,713.44446,2737.5466,10,8.0,yes,no,yes,0.0,1.0,0.0,1.0,0.0,0.0,1.0
138,4122,1,1,phone call group,0.0,21.335001,21.797,0.0004498826,0.70055944,0.0,30.0,94.0,1700.0,2097.2222,4096.2456,0,18.0,no,no,no,0.0,0.0,0.0,1.0,0.0,0.0,1.0
110,4448,0,0,notification group (airfare),0.0,0.0,0.0,0.45590964,0.48866156,0.0,35.0,92.0,1750.0,2153.3333,4269.2964,11,10.0,yes,no,yes,0.0,1.0,0.0,1.0,0.0,0.0,1.0
242,4942,1,0,post-order group (hotel),0.0,0.0,0.0,0.9185098,-0.27536705,0.0,27.0,82.0,1900.0,3043.0,5295.3955,0,20.0,no,no,yes,0.0,1.0,1.0,0.0,0.0,0.0,1.0
147,5018,1,0,post-order group (hotel),0.0,0.0,0.0,-0.3774435,-0.6063684,0.0,29.0,82.0,2138.889,464.33334,1387.59,0,15.0,yes,no,yes,0.0,1.0,1.0,0.0,0.0,0.0,1.0
205,5614,1,0,night shift (hotel),0.0,0.0,0.0,0.3699803,0.404642,0.0,32.0,79.0,1700.0,1273.5555,3826.0088,0,0.0,no,no,yes,1.0,1.0,0.0,1.0,0.0,0.0,1.0
53,6278,0,1,phone call group,1.0,11.701,8.729,-0.04005283,-0.09744056,43.0,32.0,77.0,1700.0,861.0,2918.7888,5,12.0,yes,no,yes,0.0,1.0,0.0,0.0,1.0,0.0,1.0
107,6362,0,0,post-order group (hotel),0.0,0.0,0.0,0.655319,-0.6200626,24.0,29.0,82.0,1850.0,2732.6667,4894.708,3,12.0,yes,no,yes,0.0,1.0,1.0,0.0,0.0,0.0,1.0
11,6364,0,0,post-order group (hotel),0.0,0.0,0.0,1.4090424,-0.17028235,0.0,26.0,82.0,1900.0,3965.889,6220.7456,2,12.0,yes,no,yes,0.0,1.0,1.0,0.0,0.0,0.0,1.0
35,7068,0,0,post-order group (hotel),0.0,0.0,0.0,0.27069876,-0.9988539,0.0,28.0,72.0,1950.0,1983.2222,4341.824,0,0.0,no,yes,yes,0.0,1.0,0.0,0.0,1.0,0.0,1.0
